ts_code,name,area,fullname,enname,cnspell,market,list_date
000611.SZ,*ST天首,内蒙,内蒙古天首科技发展股份有限公司,"Inner Mongolia TianShou Technology&development, Co., Ltd.",stts,主板,19961008
000612.SZ,焦作万方,河南,焦作万方铝业股份有限公司,"Jiaozuo Wanfang Aluminum Manufacturing Co.,Ltd.",jzwf,主板,19960926
000613.SZ,*ST东海A,海南,海南大东海旅游中心股份有限公司,"Hainan Dadonghai Tourism Centre (Holdings) Co.,Ltd",stdha,主板,19970128
000615.SZ,奥园美谷,湖北,奥园美谷科技股份有限公司,"Aoyuan Beauty Valley Technology Co.,Ltd.",aymg,主板,19961016
000616.SZ,ST海投,辽宁,海航投资集团股份有限公司,"HNA Investment Group Co.,Ltd.",stht,主板,19961108
000617.SZ,中油资本,新疆,中国石油集团资本股份有限公司,Cnpc Capital Company Limited,zyzb,主板,19961022
000619.SZ,海螺型材,安徽,芜湖海螺型材科技股份有限公司,"Wuhu Conch Profiles and Science Co., Ltd",hlxc,主板,19961023
000620.SZ,新华联,北京,新华联文化旅游发展股份有限公司,"Macrolink Culturaltainment Development Co., Ltd.",xhl,主板,19961029
000622.SZ,恒立实业,湖南,恒立实业发展集团股份有限公司,"Hengli Industrial Development Group Co., Ltd.",hlsy,主板,19961107
000623.SZ,吉林敖东,吉林,吉林敖东药业集团股份有限公司,"Jilin Aodong Pharmaceutical Group Co., Ltd.",jlad,主板,19961028
000625.SZ,长安汽车,重庆,重庆长安汽车股份有限公司,Chongqing Changan Automobile Company Limited,caqc,主板,19970610
000626.SZ,远大控股,江苏,远大产业控股股份有限公司,"Grand Industrial Holding Co., Ltd",ydkg,主板,19961128
000627.SZ,天茂集团,湖北,天茂实业集团股份有限公司,"Hubei Biocause Pharmaceutical Co.,Ltd.",tmjt,主板,19961112
000628.SZ,高新发展,四川,成都高新发展股份有限公司,"Chengdu Hi-Tech Development Co., Ltd.",gxfz,主板,19961118
